DATE,AMOUNT,CATEGORY,DESCRIPTION
20-04-2026,1000,Fashion,Shoes
24-04-2026,1100,Electronics,Powerbank
05-05-2026,700.0,Income,for fun
05-05-2026,600.0,Income,loafers
25-04-2026,912.0,Expense,gigs
05-05-2026,321.0,Income,finaly
05-05-2026,843.0,Income,hehe
05-05-2026,839.11,Expense,Nope
01-05-2026,15000,Income,Salary
02-05-2026,200,Expense,Food
03-05-2026,500,Expense,Groceries
04-05-2026,1200,Expense,Shopping
05-05-2026,300,Expense,Transport
06-05-2026,800,Income,Freelance
07-05-2026,150,Expense,Snacks
08-05-2026,400,Expense,Electricity bill
09-05-2026,250,Expense,Internet recharge
10-05-2026,1000,Income,Part-time work
11-05-2026,350,Expense,Movie
12-05-2026,600,Expense,Clothes
13-05-2026,200,Expense,Food
14-05-2026,700,Expense,Groceries
15-05-2026,5000,Income,Project payment
16-05-2026,300,Expense,Transport
17-05-2026,150,Expense,Snacks
18-05-2026,450,Expense,Dining out
19-05-2026,250,Expense,Mobile recharge
20-05-2026,1200,Expense,Shopping
21-05-2026,900,Income,Freelance
22-05-2026,400,Expense,Utilities
23-05-2026,350,Expense,Food
24-05-2026,700,Expense,Groceries
25-05-2026,2000,Income,Bonus
26-05-2026,300,Expense,Transport
27-05-2026,500,Expense,Entertainment
28-05-2026,450,Expense,Dining
29-05-2026,250,Expense,Snacks
30-05-2026,600,Expense,Clothes